UK,France,Belgium,Italy,Germany,year
2.4442302040816326,5.509957142857143,48.59783673469388,618.3373877551021,3.4830285714285716,70
2.4442302040816326,5.509957142857143,48.59783673469388,618.3373877551021,3.4830285714285716,71
2.5034243027888445,5.044350199203188,44.020199203187246,583.6996015936255,3.1886147410358565,72
2.4525036,4.4534632,38.95496,582.40972,2.6714508,73
2.3403336,4.8106764,38.95944,650.81356,2.58679,74
2.2216660000000004,4.2876568,36.79996,653.10328,2.4613548,75
1.8047658730158729,4.782479761904762,38.60928571428572,833.5790873015873,2.518510317460317,76
1.7448751999999998,4.9161068,35.84884,882.77792,2.3236415999999998,77
1.9184364,4.5091136,31.49456,849.1298,2.0096728,78
2.1223668,4.2567436,29.34228,831.1096,1.8342919999999998,79
2.324648207171315,4.225064541832669,29.23800796812749,856.2073705179282,1.8175298804780875,80
2.024318326693227,5.439719123505976,37.195298804780876,1138.5830677290835,2.263158964143426,81
1.7480450199203188,6.579410358565737,45.78087649402391,1353.9970119521913,2.4280701195219123,82
1.5159099601593626,7.6203529880478085,51.122470119521914,1519.3237051792828,2.553934262948207,83
1.3367812,8.735626,57.75216,1756.107,2.8455472,84
1.2974359999999998,8.979964,59.33728,1908.879518072289,2.9420192000000003,85
1.4676697211155378,6.925743824701195,44.66370517928287,1491.1601593625498,2.1704976095617527,86
1.6397876984126984,6.012212698412699,37.357658730158725,1297.0343253968256,1.7981321428571428,87
1.7812996015936255,5.959513944223107,36.784541832669326,1302.3908366533863,1.7569764940239043,88
1.638201593625498,6.380223107569721,39.40868525896414,1372.282470119522,1.8808482071713146,89
1.784103187250996,5.446675298804782,33.424003984063745,1198.2690438247014,1.616574501992032,90
1.7673537848605578,5.646778884462152,34.19458167330677,1241.2808366533864,1.6609960159362551,91
1.766305928853755,5.293494466403162,32.147549407114624,1232.1658102766798,1.561790118577075,92
1.501606746031746,5.666896825396825,34.5806746031746,1573.4068650793652,1.6544607142857144,93
1.5318525896414343,5.545868525896414,33.42589641434263,1611.4903984063747,1.621583266932271,94
1.5784697211155378,4.986422310756972,29.47249003984064,1629.4528685258963,1.4320633466135457,95
1.5606599206349205,5.115849603174603,30.970357142857143,1542.760992063492,1.5049230158730158,96
1.6376354581673307,5.839260956175299,35.80661354581673,1703.8065338645417,1.7348326693227092,97
1.6573468253968255,5.899487301587302,36.31030634920635,1736.8546825396825,1.7597440476190476,98
1.6573468253968255,5.899487301587302,36.31030634920635,1736.8546825396825,1.7597440476190476,99
